Restaurant,Address,Covered,Reservations
Actinolite,971 Ossington Ave,FALSE,info@actinoliterestaurant.com
Alchemy Food & Drink,890 College St,TRUE,Walk-ins
Alo Midsummer,485 Wellington St W,FALSE,https://www.exploretock.com/alomidsummer//
Alobar,162 Cumberland St,FALSE,https://www.exploretock.com/alobaryorkville/search
Amal,131 Bloor St W 2nd Floor,FALSE,https://www.opentable.ca/r/amal-restaurant-toronto?ref=16423
Añejo,600 King St W,FALSE,https://www.opentable.ca/r/anejo-restaurant-king-st-toronto?ref=16423
Anglr,1054 Gerrard St E,FALSE,Walk-ins
Annette Food Market,240 Annette St,FALSE,Walk-ins
Annex Social,1078 Bathurst St,FALSE,Walk-ins
Aria,25 York St,FALSE,https://www.opentable.ca/aria-ristorante?ref=16423
Ascari Enoteca,1111 Queen Street E,FALSE,https://www.opentable.com/restref/client/?rid=69625&restref=69625&partysize=2&datetime=2020-10-06T21%3A00&lang=en-US&r3uid=3LVM_-8Otp&corrid=a55f06f6-5c04-4b81-b027-4a6265cf5314
Ascari King St W,620 King Street W,,https://www.opentable.com/restref/client?rid=1045186&restref=1045186&partysize=2&datetime=2020-10-06T21%3A00&lang=en-US&r3uid=W0lRgQnl5&
Atomic 10,145 Lauder Ave,FALSE,Walk-ins
Auberge du Pommier,4150 Yonge St,TRUE,https://www.aubergedupommier.comm
Aviary,484 A Front St E,FALSE,Walk-ins
Bandit Brewery,2125 Dundas St W,FALSE,Walk-ins
Bar Hop (3),"391 King Street W, 137 Peter St, 681 Danforth Ave
",TRUE,Walk-ins
Bar Isabel,797 College St,FALSE,https://www.opentable.ca/r/bar-isabel-toronto?ref=164233
Bar Koukla,88 Ossington Ave,FALSE,Walk-ins
Bar Mordecai,1272 Dundas St W,FALSE,emily@barmordecai.com or 416-537-4343
Bar Raval,505 College St,TRUE,https://www.sevenrooms.com/waitlist/barraval
Bar Reyna,158 Cumberland St,FALSE,https://www.opentable.com/restref/client/?rid=215137&restref=215137&r3uid=Km4-pbH1Pj&corrid=fc78f4e6-e4b1-40f9-bf8b-5859282b8832
Bar Sybanne,229 Ossington Ave,FALSE,https://www.sevenrooms.com/reservations/barsybanne
